Unnamed: 0,Date Created,User,Tweet
60,2022-04-08 21:09:48+00:00,bonizzain,"Puan Maharani: Jangan Sampai Pemerintah Bicara Pemulihan Ekonomi, Harga BBM Justru Naik https://t.co/0nRWOXH86p https://t.co/RYarwphz4w #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
61,2022-04-08 21:09:46+00:00,bayuariez,"Bersama 4 ketua parlemen negara lain, Puan memimpin jalannya forum yang bertema Women at The Centre: From Confronting The Pandemic to Preserving Achievement in Gender responsive Recovery. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
62,2022-04-08 21:09:43+00:00,bonizzain,"Puan Maharani: Pemulihan Ekonomi Harus Benar-Benar Dirasakan Rakyat, Jangan Hanya di Atas Kertas https://t.co/xVnZd0Ttkn https://t.co/ivxTy4wKRh #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
63,2022-04-08 21:09:41+00:00,bonizzain,RUU TPKS Diharapkan Bisa Disahkan Ketua DPR RI Puan Maharani pada April Ini https://t.co/X6pdj0eq5e https://t.co/oAt2Lk0vdm #JokowiBersamaPuan Tolak Tunda Pemilu 2024
64,2022-04-08 21:09:23+00:00,bonizzain,Sikap Mbak Puan yang membangun masjid At Taufik dinilai sebagai simbolkan dirinya dekat dengan umat Islam. https://t.co/MVndYGXvUk #JokowiBersamaPuan Tolak Tunda Pemilu 2024
65,2022-04-08 21:07:35+00:00,BayuAmanah,"Puan menjadi salah satu sosok keberhasilan Asian Games dan Pra games 2018, rehabilitasi pasca bencana, revitalisasi pendidikan vokasional, kebijakan kesehatan yang monumental, cita-cita Indonesia Emas, Indonesia Hebat. #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
66,2022-04-08 21:07:07+00:00,BayuAmanah,Puan menerima penghargaan dari majalah Her Times pada tahun 2019 sebagai Eminent Women of the year. #JokowiBersamaPuan Tolak Tunda Pemilu 2024
67,2022-04-08 21:06:14+00:00,BayuAmanah,"Sobat puan, faktanya, Ketua DPR RI Puan Maharani memiliki segudang prestasi yang patut dibanggakan lho!  #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
68,2022-04-08 16:08:33+00:00,Gugunlol12,"“Pemulihan ekonomi rakyat sekarang ini lebih penting untuk dibicarakan di ruang publik,” –Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
69,2022-04-08 16:08:18+00:00,Gugunlol12,"“Kami tentu berharap para menteri mengikuti perintah Presiden, sehingga bisa lebih fokus membantu Presiden mengatasi berbagai persoalan bangsa, khususnya kenaikan berbagai harga komoditas yang memberatkan rakyat saat ini,” –Puan Maharani #JokowiBersamaPuan Tolak Tunda Pemilu 2024"
